Rang,Anzahl,Vorname,Geschlecht,-,Rang,Anzahl,Vorname,Geschlecht
1,64,Charlotte,w,,1,70,Emil,m
2,62,Emma,w,,2,69,Paul,m
3,50,Johanna,w,,3,64,Ben,m
4,43,Mia,w,,4,58,Oskar,m
5,42,Anna,w,,5,52,Anton,m
6,42,Hannah,w,,6,48,Noah,m
7,40,Marie,w,,7,46,Jonas,m
8,35,Emilia,w,,8,45,Moritz,m
9,33,Laura,w,,9,40,Jakob,m
10,33,Lea,w,,10,40,Karl,m
11,32,Greta,w,,11,39,Finn,m
12,31,Mila,w,,12,38,Arthur,m
13,30,Ella,w,,13,37,Leon,m
14,30,Emily,w,,14,34,Felix,m
15,30,Hanna,w,,15,34,Maximilian,m
16,29,Clara,w,,16,33,Theodor,m
17,27,Lena,w,,17,31,Alexander,m
18,27,Leonie,w,,18,31,Luca,m
19,27,Lotta,w,,19,30,Max,m
20,26,Helena,w,,20,30,Theo,m
21,26,Sophia,w,,21,28,Elias,m
22,25,Ida,w,,22,26,Johann,m
23,25,Lilly,w,,23,26,Lukas,m
24,25,Mathilda,w,,24,24,Richard,m
25,25,Paula,w,,25,24,Tim,m
26,24,Frieda,w,,26,23,Erik,m
27,24,Lina,w,,27,21,Henry,m
28,24,Luise,w,,28,21,Julian,m
29,23,Elisabeth,w,,29,21,Niklas,m
30,22,Klara,w,,30,20,Carl,m
31,21,Pia,w,,31,20,Fritz,m
32,20,Amelie,w,,32,20,Johannes,m
33,20,Sophie,w,,33,20,Jonathan,m
34,19,Elsa,w,,34,20,Pepe,m
35,19,Melissa,w,,35,19,Bruno,m
36,18,Alma,w,,36,19,Friedrich,m
37,18,Frida,w,,37,19,Gustav,m
38,18,Lara,w,,38,18,Adrian,m
39,18,Lucy,w,,39,18,Linus,m
40,18,Luisa,w,,40,17,Benjamin,m
41,18,Martha,w,,41,17,Hannes,m
42,16,Helene,w,,42,17,Lenny,m
43,16,Pauline,w,,43,17,Louis,m
44,15,Finja,w,,44,17,Samuel,m
45,15,Marlene,w,,45,17,Tom,m
46,14,Amalia,w,,46,16,Florian,m
47,14,Antonia,w,,47,16,Konstantin,m
48,14,Elisa,w,,48,16,Lennox,m
49,14,Leni,w,,49,16,Leo,m
50,14,Luna,w,,50,16,Malte,m
51,14,Melina,w,,51,16,Ole,m
52,14,Nele,w,,52,16,Valentin,m
53,13,Alina,w,,53,16,Vincent,m
54,13,Elena,w,,54,15,Mika,m
55,13,Emely,w,,55,15,Simon,m
56,13,Isabella,w,,56,14,Janosch,m
57,13,Jasmin,w,,57,14,Leonard,m
58,13,Lisa,w,,58,14,Mats,m
59,13,Lotte,w,,59,14,Nils,m
60,13,Mara,w,,60,13,Aaron,m
61,12,Julia,w,,61,13,Alfred,m
62,12,Katharina,w,,62,13,Emilio,m
63,12,Maria,w,,63,13,Fabian,m
64,12,Miriam,w,,64,13,Henri,m
65,12,Nora,w,,65,13,Levi,m
66,12,Rosalie,w,,66,13,Luis,m
67,11,Annabell,w,,67,13,Milan,m
68,11,Fiona,w,,68,13,Philipp,m
69,11,Josephine,w,,69,13,Till,m
70,11,Linda,w,,70,12,David,m
71,11,Magdalena,w,,71,12,Ferdinand,m
72,11,Merle,w,,72,12,Fynn,m
73,11,Rosa,w,,73,12,Hans,m
74,11,Sarah,w,,74,12,Hugo,m
75,10,Amy,w,,75,12,John,m
76,10,Anni,w,,76,12,Konrad,m
77,10,Annika,w,,77,12,Marvin,m
78,10,Henriette,w,,78,12,Matteo,m
79,10,Mira,w,,79,11,Damian,m
80,10,Selma,w,,80,11,Julius,m
81,10,Stella,w,,81,11,Justus,m
82,9,Eva,w,,82,11,Leopold,m
83,9,Florentine,w,,83,11,Liam,m
84,9,Matilda,w,,84,11,Maxim,m
85,9,Milena,w,,85,11,Nick,m
86,9,Theresa,w,,86,11,Nico,m
87,9,Tilda,w,,87,10,Adam,m
88,8,Elli,w,,88,10,Eric,m
89,8,Fabienne,w,,89,10,Franz,m
90,8,Isabell,w,,90,10,Mattis,m
91,8,Kim,w,,91,10,Oliver,m
92,8,Kira,w,,92,10,Timo,m
93,8,Maya,w,,93,9,Constantin,m
94,8,Selina,w,,94,9,Daniel,m
95,8,Vanessa,w,,95,9,Edgar,m
96,7,Carlotta,w,,96,9,Ian,m
97,7,Edda,w,,97,9,Raphael,m
98,7,Hermine,w,,98,9,Robert,m
99,7,Juna,w,,99,9,Sebastian,m
100,7,Karla,w,,100,8,Arvid,m
101,7,Lia,w,,101,8,August,m
102,7,Lore,w,,102,8,Dominik,m
103,7,Maja,w,,103,8,Jan,m
104,7,Nina,w,,104,8,Jayden,m
105,7,Tessa,w,,105,8,Lasse,m
106,7,Thea,w,,106,8,Marek,m
107,7,Viktoria,w,,107,8,Matti,m
108,6,Alice,w,,108,8,Michael,m
109,6,Alva,w,,109,8,Phil,m
110,6,Anouk,w,,110,8,Rafael,m
111,6,Jule,w,,111,8,Til,m
112,6,Kate,w,,112,8,Tony,m
113,6,Lea-Sophie,w,,113,7,Arne,m
114,6,Lieselotte,w,,114,7,Bela,m
115,6,Lilli,w,,115,7,Charlie,m
116,6,Louisa,w,,116,7,Darius,m
117,6,Marla,w,,117,7,Joel,m
118,6,Marta,w,,118,7,Joshua,m
119,6,Milla,w,,119,7,Marlon,m
120,6,Samantha,w,,120,7,Martin,m
121,6,Sara,w,,121,7,Peter,m
122,6,Sofia,w,,122,7,Toni,m
123,6,Valentina,w,,123,7,Wilhelm,m
124,6,Victoria,w,,124,6,Bastian,m
125,5,Alexa,w,,125,6,Egon,m
126,5,Amelia,w,,126,6,Gabriel,m
127,5,Amélie,w,,127,6,Jannik,m
128,5,Anne,w,,128,6,Kilian,m
129,5,Elise,w,,129,6,Kurt,m
130,5,Evelyn,w,,130,6,Lennard,m
131,5,Käthe,w,,131,6,Lio,m
132,5,Lana,w,,132,6,Lucas,m
133,5,Malia,w,,133,6,Luke,m
134,5,Marleen,w,,134,6,Nicolas,m
135,5,Melody,w,,135,6,Ruben,m
136,5,Milana,w,,136,6,Willi,m
137,5,Natalie,w,,137,5,Ansgar,m
138,5,Nelly,w,,138,5,Christian,m
139,5,Olivia,w,,139,5,Dylan,m
140,5,Wanda,w,,140,5,Emilian,m
