Rang,Anzahl,Vorname,Geschlecht,-,Rang1,Anzahl1,Vorname1,Geschlecht1
1,66,Emma,w,,1,68,Emil,m
2,52,Emilia,w,,2,50,Anton,m
3,50,Charlotte,w,,3,46,Karl,m
4,40,Ida,w,,4,45,Paul,m
5,38,Clara,w,,5,41,Theo,m
6,38,Johanna,w,,6,40,Felix,m
7,38,Mia,w,,7,39,Oskar,m
8,37,Ella,w,,8,38,Noah,m
9,37,Hannah,w,,9,37,Ben,m
10,31,Frieda,w,,10,37,Elias,m
11,31,Nele,w,,11,36,Arthur,m
12,30,Leni,w,,12,33,Liam,m
13,30,Lina,w,,13,31,Jakob,m
14,29,Anna,w,,14,31,Theodor,m
15,28,Lena,w,,15,30,Leon,m
16,27,Alma,w,,16,29,Moritz,m
17,24,Hanna,w,,17,28,Henry,m
18,24,Lara,w,,18,28,Matteo,m
19,24,Pauline,w,,19,27,Adam,m
20,23,Lea,w,,20,27,Johann,m
21,23,Mira,w,,21,27,Levi,m
22,23,Sophia,w,,22,27,Maximilian,m
23,22,Amelie,w,,23,25,Bruno,m
24,22,Lotta,w,,24,24,Finn,m
25,22,Mathilda,w,,25,23,Alexander,m
26,21,Emily,w,,26,22,Jonas,m
27,21,Eva,w,,27,22,Lukas,m
28,21,Martha,w,,28,22,Richard,m
29,21,Mila,w,,29,21,Edgar,m
30,20,Nora,w,,30,21,Fritz,m
31,20,Sophie,w,,31,20,Louis,m
32,19,Frida,w,,32,20,Milan,m
33,19,Lotte,w,,33,19,Leonard,m
34,19,Marie,w,,34,19,Lio,m
35,18,Leonie,w,,35,19,Till,m
36,18,Mara,w,,36,18,Jonathan,m
37,17,Julia,w,,37,18,Linus,m
38,17,Merle,w,,38,18,Luis,m
39,17,Paula,w,,39,18,Max,m
40,17,Tilda,w,,40,17,Leo,m
41,16,Elena,w,,41,17,Malte,m
42,16,Lilly,w,,42,16,Benjamin,m
43,15,Luisa,w,,43,16,Friedrich,m
44,15,Maria,w,,44,16,Gustav,m
45,15,Marlene,w,,45,16,Jonah,m
46,14,Edda,w,,46,16,Luca,m
47,14,Helena,w,,47,16,Milo,m
48,14,Laura,w,,48,16,Valentin,m
49,14,Luise,w,,49,15,Fabian,m
50,14,Olivia,w,,50,15,Fiete,m
51,14,Rosalie,w,,51,15,Ole,m
52,14,Thea,w,,52,15,Simon,m
53,13,Maya,w,,53,15,Vincent,m
54,13,Pia,w,,54,14,Alfred,m
55,13,Ronja,w,,55,14,Tim,m
56,13,Ruby,w,,56,13,Aaron,m
57,13,Wilma,w,,57,13,Franz,m
58,12,Amalia,w,,58,13,Fynn,m
59,12,Amira,w,,59,13,Justus,m
60,12,Elisabeth,w,,60,13,Konstantin,m
61,12,Lia,w,,61,13,Mika,m
62,12,Luna,w,,62,13,Niklas,m
63,12,Melissa,w,,63,13,Pepe,m
64,11,Finja,w,,64,12,Constantin,m
65,11,Flora,w,,65,12,Frederik,m
66,11,Maja,w,,66,12,Henri,m
67,11,Melina,w,,67,12,Joshua,m
68,11,Paulina,w,,68,12,Kurt,m
69,11,Victoria,w,,69,12,Leopold,m
70,10,Alina,w,,70,12,Maxim,m
71,10,Carlotta,w,,71,12,Miro,m
72,10,Juna,w,,72,11,Carl,m
73,10,Karla,w,,73,11,David,m
74,9,Ava,w,,74,11,Jan,m
75,9,Elina,w,,75,11,Jannik,m
76,9,Fiona,w,,76,11,Julius,m
77,9,Freya,w,,77,11,Ludwig,m
78,9,Hedi,w,,78,11,Mats,m
79,9,Helene,w,,79,11,Robin,m
80,9,Hilda,w,,80,10,Arne,m
81,9,Klara,w,,81,10,Carlo,m
82,9,Linda,w,,82,10,Charlie,m
83,9,Lisa,w,,83,10,Daniel,m
84,9,Mina,w,,84,10,Ferdinand,m
85,9,Selma,w,,85,10,Johannes,m
86,9,Vanessa,w,,86,10,Jonte,m
87,8,Anastasia,w,,87,10,Konrad,m
88,8,Elin,w,,88,10,Mattis,m
89,8,Elsa,w,,89,10,Raphael,m
90,8,Florentine,w,,90,10,Samuel,m
91,8,Hailey,w,,91,9,Adrian,m
92,8,Helen,w,,92,9,Bela,m
93,8,Hermine,w,,93,9,Emilio,m
94,8,Marla,w,,94,9,Erik,m
95,8,Matilda,w,,95,9,Gabriel,m
96,8,Nina,w,,96,9,Hannes,m
97,8,Sofia,w,,97,9,Hugo,m
98,8,Zoe,w,,98,9,Mio,m
99,7,Amina,w,,99,9,Nils,m
100,7,Antonia,w,,100,9,Oliver,m
101,7,Elisa,w,,101,9,Philipp,m
102,7,Elise,w,,102,8,Erwin,m
103,7,Henriette,w,,103,8,Jannis,m
104,7,Katharina,w,,104,8,Kilian,m
105,7,Kira,w,,105,8,Magnus,m
106,7,Lilli,w,,106,8,Marlon,m
107,7,Livia,w,,107,8,Mateo,m
108,7,Malia,w,,108,8,Neo,m
109,7,Malou,w,,109,7,Albert,m
110,7,Mathilde,w,,110,7,Ali,m
111,7,Miriam,w,,111,7,Artur,m
112,7,Mona,w,,112,7,August,m
113,7,Palina,w,,113,7,Benno,m
114,7,Tabea,w,,114,7,Carlos,m
115,7,Valentina,w,,115,7,Eric,m
116,6,Ada,w,,116,7,Florian,m
117,6,Alba,w,,117,7,Hans,m
118,6,Alexandra,w,,118,7,Ian,m
119,6,Alva,w,,119,7,Janosch,m
120,6,Anni,w,,120,7,Lennox,m
121,6,Ariana,w,,121,7,Luka,m
122,6,Aurora,w,,122,7,Matheo,m
123,6,Elli,w,,123,7,Mohammed,m
124,6,Lieselotte,w,,124,7,Nino,m
125,6,Lisbeth,w,,125,7,Ruben,m
126,6,Lucy,w,,126,7,Tom,m
127,6,Madita,w,,127,7,Willy,m
128,6,Magdalena,w,,128,6,Ahmad,m
129,6,Milena,w,,129,6,Alessio,m
130,6,Natalie,w,,130,6,Arian,m
131,6,Rosa,w,,131,6,Damian,m
132,6,Sara,w,,132,6,Fred,m
133,6,Stella,w,,133,6,Hamza,m
134,5,Adriana,w,,134,6,Henning,m
135,5,Anouk,w,,135,6,Jaro,m
136,5,Aurelia,w,,136,6,Joel,m
137,5,Aya,w,,137,6,John,m
138,5,Bella,w,,138,6,Jona,m
139,5,Emelie,w,,139,6,Joris,m
140,5,Emilie,w,,140,6,Julian,m
141,5,Hilde,w,,141,6,Juri,m
142,5,Isabella,w,,142,6,Leonardo,m
143,5,Jette,w,,143,6,Levin,m
144,5,Jonna,w,,144,6,Lino,m
145,5,Lene,w,,145,6,Lucas,m
146,5,Liana,w,,146,6,Marius,m
147,5,Liliana,w,,147,6,Matti,m
148,5,Lilith,w,,148,6,Michael,m
149,5,Lily,w,,149,6,Nico,m
150,5,Malina,w,,150,6,Omar,m
151,5,Mariam,w,,151,6,Rafael,m
152,5,Marta,w,,152,6,Timo,m
153,5,Mascha,w,,153,6,Tristan,m
154,5,Melia,w,,154,5,Abdullah,m
155,5,Rahel,w,,155,5,Amir,m
156,5,Romy,w,,156,5,Aron,m
157,5,Selina,w,,157,5,Arvid,m
158,5,Valeria,w,,158,5,Bennet,m
159,5,Yasmin,w,,159,5,Frederick,m
160,5,Yuna,w,,160,5,Gregor,m
161,4,Adele,w,,161,5,Ibrahim,m
162,4,Amilia,w,,162,5,Jacob,m
163,4,Amy,w,,163,5,Janne,m
164,4,Ana,w,,164,5,Jannes,m
165,4,Annika,w,,165,5,Johan,m
166,4,Diana,w,,166,5,Josef,m
167,4,Edith,w,,167,5,Kasimir,m
168,4,Emely,w,,168,5,Keno,m
169,4,Felicitas,w,,169,5,Kuno,m
170,4,Gerda,w,,170,5,Lorenz,m
171,4,Inga,w,,171,5,Luan,m
172,4,Jasmin,w,,172,5,Luke,m
173,4,Jolina,w,,173,5,Mohammad,m
174,4,Juli,w,,174,5,Nick,m
175,4,Karlotta,w,,175,5,Oscar,m
176,4,Käthe,w,,176,5,Otto,m
177,4,Layla,w,,177,5,Piet,m
178,4,Leonora,w,,178,5,Sam,m
179,4,Lilia,w,,179,5,Toni,m
180,4,Liselotte,w,,180,5,William,m
181,4,Lucia,w,,181,5,Yousef,m
182,4,Lydia,w,,182,4,Ari,m
183,4,Margarethe,w,,183,4,Bastian,m
184,4,Mathea,w,,184,4,Béla,m
185,4,Maxi,w,,185,4,Caspar,m
186,4,Michelle,w,,186,4,Cosmo,m
187,4,Milla,w,,187,4,Dean,m
188,4,Nika,w,,188,4,Dominik,m
189,4,Svea,w,,189,4,Emilian,m
190,4,Viktoria,w,,190,4,Fridolin,m
191,3,Aisha,w,,191,4,Hektor,m
192,3,Amélie,w,,192,4,Jano,m
193,3,Angelina,w,,193,4,Jari,m
194,3,Annabell,w,,194,4,Jason,m
195,3,Annelie,w,,195,4,Jesper,m
196,3,Annie,w,,196,4,Lasse,m
197,3,Aria,w,,197,4,Leander,m
198,3,Ariane,w,,198,4,Lennard,m
199,3,Arya,w,,199,4,Lenny,m
200,3,Ayla,w,,200,4,Lionel,m
201,3,Carla,w,,201,4,Malik,m
202,3,Celine,w,,202,4,Marek,m
203,3,Dalia,w,,203,4,Marvin,m
204,3,Dana,w,,204,4,Mattheo,m
205,3,Dorothea,w,,205,4,Merlin,m
206,3,Eleanor,w,,206,4,Mikael,m
207,3,Elinor,w,,207,4,Minh,m
208,3,Emmy,w,,208,4,Miran,m
209,3,Enna,w,,209,4,Noel,m
210,3,Erna,w,,210,4,Pino,m
211,3,Esther,w,,211,4,Rudi,m
212,3,Fatima,w,,212,4,Thore,m
213,3,Friederike,w,,213,4,Timur,m
214,3,Fritzi,w,,214,4,Wilhelm,m
215,3,Greta,w,,215,4,Willi,m
