anzahl;vorname;geschlecht;position
62;Emil;m;1
52;Marie;w;2
48;Oskar;m;1
47;Charlotte;w;1
45;Johanna;w;1
45;Sophie;w;2
42;Clara;w;1
42;Mia;w;1
42;Noah;m;1
42;Paul;m;1
42;Theodor;m;1
41;Karl;m;1
41;Moritz;m;1
40;Emilia;w;1
35;Emma;w;1
35;Lina;w;1
35;Anton;m;1
35;Felix;m;1
35;Theo;m;1
34;Jakob;m;1
34;Jonathan;m;1
34;Leon;m;1
32;Frieda;w;1
32;Mila;w;1
31;Arthur;m;1
31;Henry;m;1
31;Charlotte;w;2
30;Ella;w;1
30;Elias;m;1
30;Finn;m;1
29;Ben;m;1
29;Jonas;m;1
29;Matteo;m;1
28;Alma;w;1
28;Hanna;w;1
28;Lea;w;1
28;Adam;m;1
27;Anna;w;1
27;Hannah;w;1
27;Ida;w;1
26;Leni;w;1
26;Samuel;m;1
25;Amelie;w;1
25;Maria;w;1
25;Max;m;1
24;Nora;w;1
24;Linus;m;1
24;Luca;m;1
24;Pepe;m;1
24;Alexander;m;2
23;Emily;w;1
23;Bruno;m;1
23;Levi;m;1
23;Luise;w;2
23;Valentin;m;2
22;Helena;w;1
22;Lotta;w;1
22;Matilda;w;1
21;Lara;w;1
21;Leonie;w;1
21;Mira;w;1
21;Johann;m;1
21;Valentin;m;1
20;Lia;w;1
20;Tilda;w;1
20;Aaron;m;1
20;Henri;m;1
20;Liam;m;1
20;Till;m;1
20;Maria;w;2
19;Lena;w;1
19;Mathilda;w;1
19;Nele;w;1
19;Alexander;m;1
19;Leo;m;1
19;Elisabeth;w;2
19;Emilia;w;2
18;Luise;w;1
18;Mara;w;1
18;Paula;w;1
18;Sophia;w;1
18;Carlo;m;1
18;Erik;m;1
18;Friedrich;m;1
18;Milan;m;1
18;Milo;m;1
18;Ole;m;1
18;Vincent;m;1
18;Elias;m;2
17;Marie;w;1
17;Marlene;w;1
17;Maya;w;1
17;Fritz;m;1
17;Lio;m;1
17;Maximilian;m;1
17;Johanna;w;2
17;Sophia;w;2
16;Klara;w;1
16;Melina;w;1
16;Thea;w;1
16;Franz;m;1
16;Mats;m;1
16;Mika;m;1
16;Helene;w;2
16;Michael;m;2
15;Frida;w;1
15;Lilly;w;1
15;Maja;w;1
15;Sophie;w;1
15;Gustav;m;1
15;Hannes;m;1
15;Johannes;m;1
15;Rose;w;2
14;Amalia;w;1
14;Amira;w;1
14;Elena;w;1
14;Elisa;w;1
14;Helene;w;1
14;Luna;w;1
14;Martha;w;1
14;Pauline;w;1
14;Pia;w;1
14;Leonard;m;1
14;Elise;w;2
14;Emil;m;2
13;Ava;w;1
13;Finja;w;1
13;Adrian;m;1
13;Alfred;m;1
13;Carl;m;1
13;Louis;m;1
13;Ludwig;m;1
13;Henry;m;2
13;Paul;m;2
12;Alina;w;1
12;Alva;w;1
12;Elisabeth;w;1
12;Hermine;w;1
12;Isabella;w;1
12;Lola;w;1
12;Lotte;w;1
12;Merle;w;1
12;Wilma;w;1
12;Fabian;m;1
