vornamen,anzahl,geschlecht
Maximilian,165,m
Jakob,123,m
Anna,117,w
Felix,113,m
David,108,m
Paul,104,m
Sophia,103,w
Emilia,97,w
Moritz,87,m
Jonas,87,m
Alexander,86,m
Emma,86,w
Lukas,85,m
Mia,84,w
Sophie,79,w
Marie,79,w
Anton,77,m
Emil,76,m
Laura,75,w
Julian,74,m
Noah,73,m
Leopold,72,m
Lena,72,w
Johanna,72,w
Valentin,70,m
Charlotte,70,w
Leon,69,m
Vincent,68,m
Luisa,68,w
Ella,66,w
Luis,65,m
Samuel,64,m
Helena,63,w
Elias,61,m
Lina,61,w
Amelie,61,w
Antonia,61,w
Benjamin,57,m
Hanna,56,w
Lea,55,w
Clara,55,w
Mila,54,w
Paula,54,w
Hannah,54,w
Daniel,53,m
Leo,53,m
Theresa,53,w
Julius,51,m
Sofia,51,w
Jonathan,50,m
Oskar,50,m
Magdalena,49,w
Theo,48,m
Maria,48,w
Julia,48,w
Tim,47,m
Philipp,47,m
Lara,47,w
Greta,47,w
Simon,46,m
Niklas,46,m
Valentina,46,w
Marlene,45,w
Emily,45,w
Raphael,44,m
Ben,44,m
Sarah,43,w
Sebastian,42,m
Sara,42,w
Ida,42,w
Elisa,42,w
Max,41,m
Fabian,41,m
Isabella,41,w
Benedikt,40,m
Victoria,40,w
Leonie,40,w
Frida,39,w
Leni,39,w
Elena,39,w
Henri,37,m
Xaver,37,m
Katharina,37,w
Luca,36,m
Ferdinand,36,m
Louis,35,m
Michael,34,m
Theodor,34,m
Franziska,34,w
Gabriel,33,m
Ludwig,32,m
Henry,32,m
Nicolas,32,m
Johannes,32,m
Olivia,32,w
Luise,32,w
Florian,31,m
Leonard,31,m
Nora,31,w
Lisa,30,w
Klara,30,w
Louisa,30,w
Lucia,30,w
Adrian,29,m
Eva,29,w
Maya,29,w
Dominik,28,m
Matteo,28,m
Levi,28,m
Konstantin,28,m
Kilian,28,m
Josephine,28,w
Tobias,27,m
Liam,27,m
Zoe,27,w
Elisabeth,27,w
Elif,27,w
Jan,26,m
Linda,26,w
Carla,26,w
Mathilda,26,w
Johann,25,m
Finn,25,m
Rosalie,25,w
Carlotta,25,w
Lotta,25,w
Rafael,24,m
Melina,24,w
Josefine,24,w
Erik,23,m
Adam,23,m
Oliver,23,m
Miriam,23,w
Alina,23,w
Lorenz,22,m
Pauline,22,w
Maja,22,w
Valerie,22,w
Carl,21,m
Korbinian,21,m
Ali,21,m
Ava,21,w
Mira,21,w
Luka,20,m
Karl,20,m
Nina,20,w
Stella,20,w
Alma,20,w
Filip,19,m
Jonah,19,m
Elyas,19,m
Thomas,19,m
Anastasia,19,w
Viktoria,19,w
Frieda,19,w
Nico,18,m
Alexandra,18,w
Lilly,18,w
Mina,18,w
Aurelia,18,w
Stefan,17,m
Frederik,17,m
Arthur,17,m
Hugo,17,m
Tom,17,m
Constantin,17,m
Hannes,17,m
Nils,17,m
Franz,17,m
Pia,17,w
Fiona,17,w
Amina,17,w
Matilda,17,w
Jasmin,17,w
Lucas,16,m
Ibrahim,16,m
Bastian,16,m
Luna,16,w
Nele,16,w
Paulina,16,w
Matthias,15,m
Philip,15,m
Mateo,15,m
Toni,15,m
Leonardo,15,m
Marlon,15,m
Marko,15,m
Romy,15,w
Lia,15,w
Annika,15,w
Melissa,15,w
Karla,15,w
Mara,15,w
Christian,14,m
Yusuf,14,m
Lion,14,m
Andreas,14,m
Malik,14,m
Levin,14,m
Vanessa,14,w
Felicitas,14,w
Philippa,14,w
Rosa,14,w
Emilie,14,w
Isabel,14,w
+,14,w
Joshua,13,m
Milan,13,m
Aaron,13,m
Noel,13,m
Linus,13,m
Marina,13,w
Veronika,13,w
Bruno,12,m
Martin,12,m
Justus,12,m
Robert,12,m
Jana,12,w
Tilda,12,w
Elina,12,w
Alicia,12,w
Selina,12,w
Milena,12,w
Ilyas,11,m
Jacob,11,m
Mark,11,m
Gustav,11,m
Jannik,11,m
Mats,11,m
Marc,11,m
Emir,11,m
Vitus,11,m
Quirin,11,m
Marco,11,m
Oscar,11,m
Emilio,11,m
Lennard,11,m
Annabelle,11,w
Giulia,11,w
Samira,11,w
Lilli,11,w
Rebecca,11,w
Helene,11,w
Lorena,11,w
Elsa,11,w
Aurora,11,w
Henrik,10,m
Mert,10,m
Mohammed,10,m
Mika,10,m
Hamza,10,m
Leonhard,10,m
August,10,m
William,10,m
Peter,10,m
Damian,10,m
Viktor,10,m
Diego,10,m
Markus,10,m
Amir,10,m
Deniz,10,m
Nikolas,10,m
Tristan,10,m
Leander,10,m
Ela,10,w
Diana,10,w
Lucy,10,w
Amalia,10,w
Florentine,10,w
Lana,10,w
Selma,10,w
Angelina,10,w
Azra,10,w
Alisa,10,w
Nika,10,w
Ronja,10,w
Caspar,9,m
Jasper,9,m
Lennart,9,m
Laurenz,9,m
Benno,9,m
Younes,9,m
Otto,9,m
John,9,m
Carlo,9,m
Konrad,9,m
Fritz,9,m
Christopher,9,m
Manuel,9,m
Mohammad,9,m
Lasse,9,m
Georgios,9,m
Lionel,9,m
Maxim,9,m
Muhammad,9,m
Anni,9,w
Martha,9,w
Marla,9,w
Livia,9,w
Leyla,9,w
Nela,9,w
Isabelle,9,w
Filippa,9,w
Noemi,9,w
Mustafa,8,m
Enes,8,m
Severin,8,m
Mohamed,8,m
Ahmed,8,m
Laurin,8,m
Jona,8,m
Ioannis,8,m
Georg,8,m
Patrick,8,m
Timo,8,m
Friedrich,8,m
Kian,8,m
Alessio,8,m
Eric,8,m
Joel,8,m
Elise,8,w
Emelie,8,w
Melisa,8,w
Alessia,8,w
Ines,8,w
Amanda,8,w
Fatima,8,w
Lotte,8,w
Leah,8,w
Dilara,8,w
Amelia,8,w
Juna,8,w
Meryem,8,w
Teresa,8,w
Cecilia,8,w
Christina,8,w
Hana,8,w
Aliya,8,w
Nisa,8,w
Clemens,7,m
Ole,7,m
Alex,7,m
Fabio,7,m
Arian,7,m
Sami,7,m
Pepe,7,m
Elijah,7,m
Till,7,m
Aras,7,m
Nikolaos,7,m
Victor,7,m
Lio,7,m
Nathan,7,m
Ivan,7,m
Valentino,7,m
Armin,7,m
Muhammed,7,m
Antonio,7,m
Ahmad,7,m
Alexandros,7,m
Vito,7,m
Christoph,7,m
Emanuel,7,m
Thea,7,w
Michelle,7,w
Erika,7,w
Maryam,7,w
Helen,7,w
Sonja,7,w
Celina,7,w
Esila,7,w
Tabea,7,w
Eliana,7,w
Zeynep,7,w
Louise,7,w
Selin,7,w
Celine,7,w
Cataleya,7,w
Carolin,7,w
Milla,7,w
Tessa,7,w
Katarina,7,w
Alissa,7,w
Ayla,7,w
Flora,7,w
Julie,7,w
Alea,7,w
Eleonora,7,w
Finja,7,w
Jara,7,w
Ana,7,w
Letizia,7,w
Yunus,6,m
