Rang,Anzahl,Vorname,Geschlecht,-,Rang,Anzahl,Vorname,Geschlecht
1,61,Emma,w,,1,60,Emil,m
2,48,Mia,w,,2,58,Ben,m
3,45,Charlotte,w,,3,58,Karl,m
4,44,Lea,w,,4,51,Oskar,m
5,43,Hannah,w,,5,51,Paul,m
6,42,Emilia,w,,6,48,Theodor,m
7,41,Johanna,w,,7,46,Anton,m
8,38,Clara,w,,8,40,Noah,m
9,38,Ella,w,,9,37,Theo,m
10,38,Lina,w,,10,34,Jonas,m
11,35,Anna,w,,11,33,Moritz,m
12,34,Mila,w,,12,32,Elias,m
13,33,Lena,w,,13,31,Adam,m
14,32,Ida,w,,14,31,Fritz,m
15,32,Marie,w,,15,31,Leon,m
16,31,Greta,w,,16,31,Milan,m
17,26,Nele,w,,17,30,Arthur,m
18,26,Sophia,w,,18,30,Lukas,m
19,25,Leni,w,,19,28,Felix,m
20,24,Lotta,w,,20,28,Finn,m
21,24,Nora,w,,21,28,Luca,m
22,23,Alma,w,,22,26,Vincent,m
23,23,Frieda,w,,23,25,Maximilian,m
24,23,Mathilda,w,,24,24,Levi,m
25,23,Pauline,w,,25,24,Till,m
26,22,Amelie,w,,26,23,Erik,m
27,22,Hanna,w,,27,23,Friedrich,m
28,22,Klara,w,,28,23,Jonathan,m
29,22,Leonie,w,,29,23,Leo,m
30,22,Paula,w,,30,22,Henry,m
31,21,Lara,w,,31,22,Max,m
32,21,Maria,w,,32,22,Mika,m
33,20,Frida,w,,33,21,Alexander,m
34,20,Pia,w,,34,21,Jakob,m
35,19,Laura,w,,35,21,Liam,m
36,18,Elisabeth,w,,36,21,Linus,m
37,18,Emily,w,,37,20,Bruno,m
38,18,Helena,w,,38,20,Hannes,m
39,17,Elena,w,,39,19,Julian,m
40,17,Tilda,w,,40,19,Luis,m
41,16,Lilly,w,,41,19,Niklas,m
42,16,Luise,w,,42,19,Samuel,m
43,16,Luna,w,,43,18,Aaron,m
44,16,Mara,w,,44,18,Matteo,m
45,16,Mira,w,,45,17,Julius,m
46,16,Rosalie,w,,46,17,Louis,m
47,15,Helene,w,,47,17,Pepe,m
48,15,Maja,w,,48,17,Tim,m
49,15,Martha,w,,49,16,Adrian,m
50,14,Antonia,w,,50,16,Franz,m
51,14,Katharina,w,,51,16,Henri,m
52,14,Lia,w,,52,16,Johann,m
53,14,Magdalena,w,,53,16,Konrad,m
54,14,Marlene,w,,54,15,Charlie,m
55,14,Ronja,w,,55,15,Frederik,m
56,14,Sarah,w,,56,15,Johannes,m
57,13,Amalia,w,,57,15,Kurt,m
58,13,Carlotta,w,,58,15,Leopold,m
59,13,Isabella,w,,59,15,Richard,m
60,13,Julia,w,,60,14,Ferdinand,m
61,13,Maya,w,,61,14,Gustav,m
62,13,Miriam,w,,62,14,Hugo,m
63,12,Anni,w,,63,14,Konstantin,m
64,12,Elisa,w,,64,14,Leonard,m
65,12,Jasmin,w,,65,14,Ludwig,m
66,12,Lene,w,,66,14,Milo,m
67,12,Mina,w,,67,14,Ole,m
68,12,Sophie,w,,68,14,Philipp,m
69,12,Theresa,w,,69,13,Daniel,m
70,11,Elsa,w,,70,13,David,m
71,11,Eva,w,,71,13,Edgar,m
72,11,Juna,w,,72,13,Fabian,m
73,11,Lisa,w,,73,13,Florian,m
